Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_548,A simulated disease profile for Disease_548 with common medical symptoms and treatments.,"Headache,Shortness of breath,Loss of appetite,Nausea,Fatigue","Use protective gear,Regular hand washing,Avoid contact with infected individuals","Prednisone,Ibuprofen,Aspirin","200mg every 8 hours,250mg every 6 hours","Severe dehydration,High-grade fever","Limit alcohol intake,Daily exercise,Regular checkups"
Disease_549,A simulated disease profile for Disease_549 with common medical symptoms and treatments.,"Fever,Blurred vision,Rash,Chest pain,Joint pain","Regular hand washing,Eat a balanced diet,Vaccination","Cetirizine,Ibuprofen,Azithromycin","500mg twice a day,10ml thrice a day","Severe chest pain,Loss of consciousness","Hydration,Limit alcohol intake,Low-fat diet"
Disease_550,A simulated disease profile for Disease_550 with common medical symptoms and treatments.,"Muscle pain,Joint pain,Rash,Vomiting,Headache","Use protective gear,Maintain hygiene,Drink plenty of water","Ibuprofen,Aspirin,Omeprazole","10ml thrice a day,100mg once daily","Difficulty breathing,High-grade fever","Stress management,Avoid smoking,Hydration"
Disease_551,A simulated disease profile for Disease_551 with common medical symptoms and treatments.,"Fatigue,Shortness of breath,Muscle pain,Headache,Chest pain","Use protective gear,Maintain hygiene,Eat a balanced diet","Metformin,Amoxicillin,Aspirin","100mg once daily,200mg every 8 hours","Loss of consciousness,Uncontrolled bleeding","Hydration,Limit alcohol intake,Daily exercise"
Disease_552,A simulated disease profile for Disease_552 with common medical symptoms and treatments.,"Sore throat,Fatigue,Fever,Blurred vision,Vomiting","Drink plenty of water,Rest adequately,Maintain hygiene","Prednisone,Azithromycin,Cetirizine","1 tablet after meals,100mg once daily","Severe chest pain,Uncontrolled bleeding","Low-fat diet,Adequate sleep,Stress management"
Disease_553,A simulated disease profile for Disease_553 with common medical symptoms and treatments.,"Muscle pain,Loss of appetite,Chest pain,Headache,Cough","Rest adequately,Avoid spicy food,Maintain hygiene","Prednisone,Azithromycin,Aspirin","10ml thrice a day,500mg twice a day","Severe chest pain,High-grade fever","Daily exercise,Limit alcohol intake,Adequate sleep"
Disease_554,A simulated disease profile for Disease_554 with common medical symptoms and treatments.,"Loss of appetite,Vomiting,Joint pain,Cough,Shortness of breath","Avoid spicy food,Drink plenty of water,Maintain hygiene","Aspirin,Cetirizine,Azithromycin","10ml thrice a day,100mg once daily","Uncontrolled bleeding,Severe dehydration","Hydration,Adequate sleep,Stress management"
Disease_555,A simulated disease profile for Disease_555 with common medical symptoms and treatments.,"Muscle pain,Nausea,Vomiting,Fever,Headache","Eat a balanced diet,Regular hand washing,Avoid contact with infected individuals","Prednisone,Loratadine,Aspirin","500mg twice a day,250mg every 6 hours","Difficulty breathing,High-grade fever","Regular checkups,Avoid smoking,Stress management"
Disease_556,A simulated disease profile for Disease_556 with common medical symptoms and treatments.,"Loss of appetite,Joint pain,Nausea,Chest pain,Rash","Regular hand washing,Maintain hygiene,Drink plenty of water","Omeprazole,Metformin,Prednisone","100mg once daily,250mg every 6 hours","High-grade fever,Uncontrolled bleeding","Limit alcohol intake,Stress management,Regular checkups"
Disease_557,A simulated disease profile for Disease_557 with common medical symptoms and treatments.,"Shortness of breath,Fever,Vomiting,Muscle pain,Joint pain","Avoid spicy food,Regular hand washing,Use protective gear","Omeprazole,Ibuprofen,Prednisone","1 tablet after meals,500mg twice a day","Severe chest pain,High-grade fever","Daily exercise,Regular checkups,Limit alcohol intake"
Disease_558,A simulated disease profile for Disease_558 with common medical symptoms and treatments.,"Headache,Loss of appetite,Fever,Muscle pain,Vomiting","Eat a balanced diet,Drink plenty of water,Avoid contact with infected individuals","Omeprazole,Aspirin,Prednisone","1 tablet after meals,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Adequate sleep,Avoid smoking,Stress management"
Disease_559,A simulated disease profile for Disease_559 with common medical symptoms and treatments.,"Fatigue,Vomiting,Joint pain,Sore throat,Loss of appetite","Avoid spicy food,Avoid contact with infected individuals,Maintain hygiene","Ibuprofen,Amoxicillin,Omeprazole","200mg every 8 hours,500mg twice a day","High-grade fever,Severe chest pain","Daily exercise,Hydration,Limit alcohol intake"
Disease_560,A simulated disease profile for Disease_560 with common medical symptoms and treatments.,"Cough,Dizziness,Loss of appetite,Rash,Fatigue","Physical distancing,Eat a balanced diet,Use protective gear","Paracetamol,Aspirin,Cetirizine","200mg every 8 hours,250mg every 6 hours","Severe chest pain,Loss of consciousness","Hydration,Daily exercise,Avoid smoking"
Disease_561,A simulated disease profile for Disease_561 with common medical symptoms and treatments.,"Rash,Nausea,Headache,Cough,Blurred vision","Drink plenty of water,Regular hand washing,Vaccination","Metformin,Amoxicillin,Cetirizine","1 tablet after meals,250mg every 6 hours","Severe chest pain,Severe dehydration","Daily exercise,Limit alcohol intake,Stress management"
Disease_562,A simulated disease profile for Disease_562 with common medical symptoms and treatments.,"Joint pain,Dizziness,Cough,Shortness of breath,Fever","Avoid contact with infected individuals,Regular hand washing,Eat a balanced diet","Ibuprofen,Paracetamol,Omeprazole","250mg every 6 hours,500mg twice a day","High-grade fever,Severe dehydration","Low-fat diet,Daily exercise,Adequate sleep"
Disease_563,A simulated disease profile for Disease_563 with common medical symptoms and treatments.,"Sore throat,Fever,Shortness of breath,Nausea,Headache","Vaccination,Avoid spicy food,Avoid contact with infected individuals","Ibuprofen,Metformin,Paracetamol","10ml thrice a day,200mg every 8 hours","Severe chest pain,Loss of consciousness","Regular checkups,Limit alcohol intake,Avoid smoking"
Disease_564,A simulated disease profile for Disease_564 with common medical symptoms and treatments.,"Headache,Blurred vision,Nausea,Chest pain,Joint pain","Eat a balanced diet,Avoid contact with infected individuals,Regular hand washing","Omeprazole,Prednisone,Metformin","100mg once daily,1 tablet after meals","Severe chest pain,Loss of consciousness","Daily exercise,Avoid smoking,Low-fat diet"
Disease_565,A simulated disease profile for Disease_565 with common medical symptoms and treatments.,"Muscle pain,Sore throat,Headache,Rash,Nausea","Avoid spicy food,Drink plenty of water,Use protective gear","Prednisone,Amoxicillin,Azithromycin","250mg every 6 hours,100mg once daily","Severe dehydration,Severe chest pain","Adequate sleep,Regular checkups,Avoid smoking"
Disease_566,A simulated disease profile for Disease_566 with common medical symptoms and treatments.,"Headache,Joint pain,Shortness of breath,Vomiting,Rash","Eat a balanced diet,Avoid spicy food,Vaccination","Aspirin,Azithromycin,Ibuprofen","100mg once daily,10ml thrice a day","Difficulty breathing,Severe chest pain","Regular checkups,Limit alcohol intake,Daily exercise"
Disease_567,A simulated disease profile for Disease_567 with common medical symptoms and treatments.,"Loss of appetite,Dizziness,Muscle pain,Rash,Sore throat","Avoid spicy food,Use protective gear,Maintain hygiene","Cetirizine,Ibuprofen,Metformin","10ml thrice a day,100mg once daily","High-grade fever,Uncontrolled bleeding","Regular checkups,Avoid smoking,Adequate sleep"
Disease_568,A simulated disease profile for Disease_568 with common medical symptoms and treatments.,"Vomiting,Sore throat,Muscle pain,Fatigue,Blurred vision","Drink plenty of water,Physical distancing,Regular hand washing","Paracetamol,Ibuprofen,Azithromycin","250mg every 6 hours,10ml thrice a day","Difficulty breathing,Loss of consciousness","Avoid smoking,Adequate sleep,Hydration"
Disease_569,A simulated disease profile for Disease_569 with common medical symptoms and treatments.,"Sore throat,Rash,Vomiting,Cough,Muscle pain","Drink plenty of water,Maintain hygiene,Rest adequately","Omeprazole,Metformin,Aspirin","10ml thrice a day,500mg twice a day","Severe dehydration,Loss of consciousness","Limit alcohol intake,Hydration,Low-fat diet"
Disease_570,A simulated disease profile for Disease_570 with common medical symptoms and treatments.,"Rash,Joint pain,Shortness of breath,Vomiting,Nausea","Avoid contact with infected individuals,Rest adequately,Vaccination","Paracetamol,Azithromycin,Aspirin","250mg every 6 hours,1 tablet after meals","Loss of consciousness,Severe chest pain","Low-fat diet,Stress management,Daily exercise"
Disease_571,A simulated disease profile for Disease_571 with common medical symptoms and treatments.,"Loss of appetite,Dizziness,Chest pain,Fever,Sore throat","Vaccination,Use protective gear,Avoid contact with infected individuals","Paracetamol,Omeprazole,Aspirin","200mg every 8 hours,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Adequate sleep,Regular checkups,Limit alcohol intake"
Disease_572,A simulated disease profile for Disease_572 with common medical symptoms and treatments.,"Vomiting,Fatigue,Cough,Chest pain,Shortness of breath","Physical distancing,Maintain hygiene,Vaccination","Cetirizine,Metformin,Omeprazole","100mg once daily,500mg twice a day","Difficulty breathing,Severe chest pain","Stress management,Limit alcohol intake,Daily exercise"
Disease_573,A simulated disease profile for Disease_573 with common medical symptoms and treatments.,"Muscle pain,Rash,Dizziness,Vomiting,Blurred vision","Vaccination,Avoid spicy food,Avoid contact with infected individuals","Prednisone,Omeprazole,Azithromycin","100mg once daily,200mg every 8 hours","Severe chest pain,High-grade fever","Limit alcohol intake,Low-fat diet,Stress management"
Disease_574,A simulated disease profile for Disease_574 with common medical symptoms and treatments.,"Muscle pain,Nausea,Joint pain,Shortness of breath,Fever","Physical distancing,Maintain hygiene,Rest adequately","Ibuprofen,Azithromycin,Amoxicillin","500mg twice a day,1 tablet after meals","High-grade fever,Severe chest pain","Avoid smoking,Adequate sleep,Regular checkups"
Disease_575,A simulated disease profile for Disease_575 with common medical symptoms and treatments.,"Cough,Loss of appetite,Blurred vision,Fatigue,Sore throat","Vaccination,Maintain hygiene,Use protective gear","Aspirin,Cetirizine,Ibuprofen","1 tablet after meals,10ml thrice a day","Uncontrolled bleeding,Difficulty breathing","Avoid smoking,Regular checkups,Hydration"
Disease_576,A simulated disease profile for Disease_576 with common medical symptoms and treatments.,"Headache,Joint pain,Blurred vision,Cough,Chest pain","Avoid spicy food,Regular hand washing,Physical distancing","Loratadine,Prednisone,Paracetamol","500mg twice a day,100mg once daily","Severe dehydration,Uncontrolled bleeding","Regular checkups,Avoid smoking,Adequate sleep"
Disease_577,A simulated disease profile for Disease_577 with common medical symptoms and treatments.,"Sore throat,Fever,Fatigue,Dizziness,Headache","Vaccination,Physical distancing,Use protective gear","Omeprazole,Aspirin,Ibuprofen","1 tablet after meals,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Hydration,Regular checkups,Stress management"
Disease_578,A simulated disease profile for Disease_578 with common medical symptoms and treatments.,"Vomiting,Fatigue,Loss of appetite,Muscle pain,Nausea","Maintain hygiene,Avoid contact with infected individuals,Eat a balanced diet","Aspirin,Paracetamol,Prednisone","10ml thrice a day,200mg every 8 hours","Severe dehydration,Loss of consciousness","Low-fat diet,Daily exercise,Stress management"
Disease_579,A simulated disease profile for Disease_579 with common medical symptoms and treatments.,"Muscle pain,Fatigue,Chest pain,Dizziness,Joint pain","Drink plenty of water,Eat a balanced diet,Maintain hygiene","Aspirin,Prednisone,Amoxicillin","100mg once daily,500mg twice a day","Severe dehydration,Severe chest pain","Hydration,Stress management,Daily exercise"
Disease_580,A simulated disease profile for Disease_580 with common medical symptoms and treatments.,"Rash,Dizziness,Nausea,Sore throat,Cough","Rest adequately,Physical distancing,Avoid spicy food","Aspirin,Metformin,Paracetamol","500mg twice a day,10ml thrice a day","High-grade fever,Uncontrolled bleeding","Low-fat diet,Avoid smoking,Regular checkups"
Disease_581,A simulated disease profile for Disease_581 with common medical symptoms and treatments.,"Fever,Cough,Nausea,Rash,Blurred vision","Use protective gear,Rest adequately,Vaccination","Azithromycin,Aspirin,Prednisone","1 tablet after meals,10ml thrice a day","Severe dehydration,Difficulty breathing","Avoid smoking,Adequate sleep,Daily exercise"
Disease_582,A simulated disease profile for Disease_582 with common medical symptoms and treatments.,"Shortness of breath,Fever,Muscle pain,Loss of appetite,Vomiting","Eat a balanced diet,Physical distancing,Regular hand washing","Ibuprofen,Amoxicillin,Omeprazole","250mg every 6 hours,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Adequate sleep,Hydration,Daily exercise"
Disease_583,A simulated disease profile for Disease_583 with common medical symptoms and treatments.,"Muscle pain,Headache,Shortness of breath,Joint pain,Vomiting","Eat a balanced diet,Use protective gear,Avoid contact with infected individuals","Aspirin,Loratadine,Omeprazole","10ml thrice a day,1 tablet after meals","High-grade fever,Uncontrolled bleeding","Limit alcohol intake,Daily exercise,Stress management"
Disease_584,A simulated disease profile for Disease_584 with common medical symptoms and treatments.,"Fatigue,Blurred vision,Loss of appetite,Chest pain,Vomiting","Use protective gear,Eat a balanced diet,Avoid contact with infected individuals","Prednisone,Metformin,Cetirizine","250mg every 6 hours,100mg once daily","High-grade fever,Uncontrolled bleeding","Stress management,Avoid smoking,Limit alcohol intake"
Disease_585,A simulated disease profile for Disease_585 with common medical symptoms and treatments.,"Nausea,Sore throat,Rash,Dizziness,Fever","Eat a balanced diet,Maintain hygiene,Physical distancing","Azithromycin,Metformin,Prednisone","200mg every 8 hours,1 tablet after meals","Uncontrolled bleeding,Difficulty breathing","Avoid smoking,Limit alcohol intake,Low-fat diet"
Disease_586,A simulated disease profile for Disease_586 with common medical symptoms and treatments.,"Loss of appetite,Rash,Muscle pain,Headache,Vomiting","Avoid contact with infected individuals,Eat a balanced diet,Avoid spicy food","Loratadine,Ibuprofen,Cetirizine","1 tablet after meals,100mg once daily","Severe dehydration,High-grade fever","Daily exercise,Limit alcohol intake,Stress management"
Disease_587,A simulated disease profile for Disease_587 with common medical symptoms and treatments.,"Fever,Headache,Chest pain,Loss of appetite,Shortness of breath","Avoid contact with infected individuals,Use protective gear,Regular hand washing","Cetirizine,Metformin,Azithromycin","250mg every 6 hours,100mg once daily","Uncontrolled bleeding,Severe dehydration","Avoid smoking,Regular checkups,Hydration"
Disease_588,A simulated disease profile for Disease_588 with common medical symptoms and treatments.,"Headache,Rash,Dizziness,Cough,Nausea","Vaccination,Maintain hygiene,Avoid spicy food","Metformin,Paracetamol,Aspirin","250mg every 6 hours,200mg every 8 hours","Severe chest pain,High-grade fever","Limit alcohol intake,Avoid smoking,Stress management"
Disease_589,A simulated disease profile for Disease_589 with common medical symptoms and treatments.,"Vomiting,Muscle pain,Sore throat,Rash,Joint pain","Eat a balanced diet,Physical distancing,Regular hand washing","Ibuprofen,Omeprazole,Paracetamol","10ml thrice a day,500mg twice a day","Severe dehydration,High-grade fever","Limit alcohol intake,Avoid smoking,Hydration"
Disease_590,A simulated disease profile for Disease_590 with common medical symptoms and treatments.,"Vomiting,Cough,Headache,Dizziness,Joint pain","Drink plenty of water,Rest adequately,Physical distancing","Omeprazole,Cetirizine,Paracetamol","100mg once daily,1 tablet after meals","Difficulty breathing,Loss of consciousness","Adequate sleep,Daily exercise,Hydration"
Disease_591,A simulated disease profile for Disease_591 with common medical symptoms and treatments.,"Fatigue,Sore throat,Joint pain,Muscle pain,Rash","Vaccination,Avoid spicy food,Use protective gear","Amoxicillin,Azithromycin,Paracetamol","250mg every 6 hours,200mg every 8 hours","Uncontrolled bleeding,Severe dehydration","Regular checkups,Daily exercise,Avoid smoking"
Disease_592,A simulated disease profile for Disease_592 with common medical symptoms and treatments.,"Rash,Sore throat,Muscle pain,Vomiting,Fever","Drink plenty of water,Vaccination,Avoid spicy food","Amoxicillin,Omeprazole,Cetirizine","200mg every 8 hours,1 tablet after meals","Loss of consciousness,Difficulty breathing","Adequate sleep,Regular checkups,Hydration"
Disease_593,A simulated disease profile for Disease_593 with common medical symptoms and treatments.,"Rash,Loss of appetite,Fever,Nausea,Muscle pain","Vaccination,Rest adequately,Use protective gear","Cetirizine,Aspirin,Prednisone","100mg once daily,250mg every 6 hours","Uncontrolled bleeding,Loss of consciousness","Limit alcohol intake,Daily exercise,Stress management"
Disease_594,A simulated disease profile for Disease_594 with common medical symptoms and treatments.,"Fatigue,Rash,Dizziness,Fever,Muscle pain","Physical distancing,Avoid contact with infected individuals,Use protective gear","Loratadine,Aspirin,Prednisone","10ml thrice a day,1 tablet after meals","Loss of consciousness,High-grade fever","Avoid smoking,Limit alcohol intake,Hydration"
Disease_595,A simulated disease profile for Disease_595 with common medical symptoms and treatments.,"Chest pain,Loss of appetite,Vomiting,Nausea,Blurred vision","Maintain hygiene,Eat a balanced diet,Avoid spicy food","Amoxicillin,Omeprazole,Metformin","1 tablet after meals,500mg twice a day","Severe dehydration,Uncontrolled bleeding","Regular checkups,Hydration,Limit alcohol intake"
Disease_596,A simulated disease profile for Disease_596 with common medical symptoms and treatments.,"Fever,Headache,Shortness of breath,Vomiting,Loss of appetite","Drink plenty of water,Vaccination,Maintain hygiene","Paracetamol,Omeprazole,Cetirizine","10ml thrice a day,250mg every 6 hours","High-grade fever,Difficulty breathing","Limit alcohol intake,Adequate sleep,Daily exercise"
Disease_597,A simulated disease profile for Disease_597 with common medical symptoms and treatments.,"Chest pain,Joint pain,Dizziness,Sore throat,Loss of appetite","Vaccination,Maintain hygiene,Regular hand washing","Aspirin,Ibuprofen,Loratadine","100mg once daily,500mg twice a day","High-grade fever,Loss of consciousness","Stress management,Low-fat diet,Limit alcohol intake"
Disease_598,A simulated disease profile for Disease_598 with common medical symptoms and treatments.,"Chest pain,Nausea,Cough,Fever,Joint pain","Avoid spicy food,Vaccination,Maintain hygiene","Metformin,Prednisone,Cetirizine","100mg once daily,10ml thrice a day","High-grade fever,Severe chest pain","Daily exercise,Adequate sleep,Avoid smoking"
Disease_599,A simulated disease profile for Disease_599 with common medical symptoms and treatments.,"Dizziness,Loss of appetite,Cough,Joint pain,Blurred vision","Eat a balanced diet,Use protective gear,Avoid spicy food","Paracetamol,Loratadine,Azithromycin","250mg every 6 hours,10ml thrice a day","Difficulty breathing,High-grade fever","Daily exercise,Limit alcohol intake,Stress management"
Disease_600,A simulated disease profile for Disease_600 with common medical symptoms and treatments.,"Headache,Vomiting,Loss of appetite,Fatigue,Fever","Regular hand washing,Vaccination,Physical distancing","Amoxicillin,Omeprazole,Prednisone","100mg once daily,200mg every 8 hours","High-grade fever,Severe dehydration","Hydration,Adequate sleep,Regular checkups"
Disease_601,A simulated disease profile for Disease_601 with common medical symptoms and treatments.,"Dizziness,Fatigue,Muscle pain,Nausea,Shortness of breath","Regular hand washing,Physical distancing,Eat a balanced diet","Metformin,Paracetamol,Aspirin","1 tablet after meals,500mg twice a day","Loss of consciousness,Severe chest pain","Stress management,Daily exercise,Avoid smoking"
Disease_602,A simulated disease profile for Disease_602 with common medical symptoms and treatments.,"Joint pain,Dizziness,Shortness of breath,Muscle pain,Cough","Physical distancing,Use protective gear,Avoid spicy food","Azithromycin,Aspirin,Metformin","500mg twice a day,200mg every 8 hours","Uncontrolled bleeding,Severe chest pain","Low-fat diet,Regular checkups,Limit alcohol intake"
Disease_603,A simulated disease profile for Disease_603 with common medical symptoms and treatments.,"Rash,Joint pain,Dizziness,Nausea,Shortness of breath","Eat a balanced diet,Maintain hygiene,Vaccination","Amoxicillin,Omeprazole,Loratadine","250mg every 6 hours,200mg every 8 hours","Severe chest pain,Difficulty breathing","Hydration,Stress management,Regular checkups"
Disease_604,A simulated disease profile for Disease_604 with common medical symptoms and treatments.,"Dizziness,Muscle pain,Chest pain,Shortness of breath,Nausea","Regular hand washing,Eat a balanced diet,Use protective gear","Ibuprofen,Omeprazole,Loratadine","200mg every 8 hours,10ml thrice a day","Uncontrolled bleeding,Difficulty breathing","Limit alcohol intake,Regular checkups,Stress management"
Disease_605,A simulated disease profile for Disease_605 with common medical symptoms and treatments.,"Sore throat,Fever,Joint pain,Loss of appetite,Nausea","Rest adequately,Eat a balanced diet,Vaccination","Omeprazole,Azithromycin,Amoxicillin","10ml thrice a day,1 tablet after meals","Severe chest pain,Loss of consciousness","Limit alcohol intake,Daily exercise,Low-fat diet"
Disease_606,A simulated disease profile for Disease_606 with common medical symptoms and treatments.,"Nausea,Vomiting,Dizziness,Headache,Rash","Drink plenty of water,Vaccination,Physical distancing","Amoxicillin,Prednisone,Azithromycin","1 tablet after meals,500mg twice a day","Severe chest pain,Uncontrolled bleeding","Stress management,Limit alcohol intake,Adequate sleep"
Disease_607,A simulated disease profile for Disease_607 with common medical symptoms and treatments.,"Vomiting,Nausea,Fever,Cough,Muscle pain","Eat a balanced diet,Maintain hygiene,Avoid contact with infected individuals","Cetirizine,Paracetamol,Azithromycin","100mg once daily,500mg twice a day","Loss of consciousness,Severe dehydration","Regular checkups,Hydration,Avoid smoking"
Disease_608,A simulated disease profile for Disease_608 with common medical symptoms and treatments.,"Muscle pain,Cough,Headache,Fatigue,Sore throat","Avoid spicy food,Vaccination,Regular hand washing","Paracetamol,Aspirin,Prednisone","10ml thrice a day,200mg every 8 hours","Severe dehydration,Uncontrolled bleeding","Adequate sleep,Hydration,Stress management"
Disease_609,A simulated disease profile for Disease_609 with common medical symptoms and treatments.,"Cough,Dizziness,Muscle pain,Fatigue,Nausea","Rest adequately,Drink plenty of water,Use protective gear","Metformin,Ibuprofen,Cetirizine","100mg once daily,200mg every 8 hours","High-grade fever,Severe dehydration","Limit alcohol intake,Regular checkups,Stress management"
Disease_610,A simulated disease profile for Disease_610 with common medical symptoms and treatments.,"Fever,Muscle pain,Vomiting,Dizziness,Chest pain","Rest adequately,Physical distancing,Regular hand washing","Cetirizine,Amoxicillin,Omeprazole","100mg once daily,10ml thrice a day","Difficulty breathing,High-grade fever","Daily exercise,Adequate sleep,Regular checkups"
Disease_611,A simulated disease profile for Disease_611 with common medical symptoms and treatments.,"Vomiting,Loss of appetite,Sore throat,Fatigue,Shortness of breath","Avoid contact with infected individuals,Physical distancing,Rest adequately","Azithromycin,Aspirin,Paracetamol","10ml thrice a day,250mg every 6 hours","Loss of consciousness,Severe dehydration","Stress management,Regular checkups,Hydration"
Disease_612,A simulated disease profile for Disease_612 with common medical symptoms and treatments.,"Nausea,Vomiting,Headache,Fatigue,Fever","Vaccination,Regular hand washing,Physical distancing","Azithromycin,Metformin,Loratadine","250mg every 6 hours,500mg twice a day","High-grade fever,Difficulty breathing","Regular checkups,Low-fat diet,Stress management"
Disease_613,A simulated disease profile for Disease_613 with common medical symptoms and treatments.,"Chest pain,Vomiting,Fatigue,Sore throat,Joint pain","Avoid contact with infected individuals,Avoid spicy food,Use protective gear","Omeprazole,Amoxicillin,Ibuprofen","10ml thrice a day,100mg once daily","Uncontrolled bleeding,Severe dehydration","Limit alcohol intake,Avoid smoking,Regular checkups"
Disease_614,A simulated disease profile for Disease_614 with common medical symptoms and treatments.,"Loss of appetite,Vomiting,Fatigue,Blurred vision,Headache","Avoid spicy food,Maintain hygiene,Vaccination","Azithromycin,Omeprazole,Amoxicillin","100mg once daily,250mg every 6 hours","High-grade fever,Severe chest pain","Hydration,Low-fat diet,Avoid smoking"
Disease_615,A simulated disease profile for Disease_615 with common medical symptoms and treatments.,"Muscle pain,Vomiting,Joint pain,Fatigue,Shortness of breath","Vaccination,Regular hand washing,Use protective gear","Loratadine,Metformin,Ibuprofen","250mg every 6 hours,1 tablet after meals","Uncontrolled bleeding,Severe chest pain","Avoid smoking,Limit alcohol intake,Stress management"
Disease_616,A simulated disease profile for Disease_616 with common medical symptoms and treatments.,"Fatigue,Chest pain,Sore throat,Muscle pain,Rash","Vaccination,Avoid contact with infected individuals,Regular hand washing","Prednisone,Paracetamol,Loratadine","10ml thrice a day,1 tablet after meals","Loss of consciousness,Severe dehydration","Avoid smoking,Hydration,Low-fat diet"
Disease_617,A simulated disease profile for Disease_617 with common medical symptoms and treatments.,"Cough,Joint pain,Blurred vision,Vomiting,Fatigue","Drink plenty of water,Use protective gear,Rest adequately","Ibuprofen,Cetirizine,Amoxicillin","10ml thrice a day,250mg every 6 hours","Difficulty breathing,High-grade fever","Adequate sleep,Low-fat diet,Hydration"
Disease_618,A simulated disease profile for Disease_618 with common medical symptoms and treatments.,"Dizziness,Blurred vision,Fatigue,Chest pain,Shortness of breath","Regular hand washing,Avoid contact with infected individuals,Use protective gear","Cetirizine,Azithromycin,Aspirin","100mg once daily,1 tablet after meals","Loss of consciousness,Severe chest pain","Limit alcohol intake,Daily exercise,Adequate sleep"
Disease_619,A simulated disease profile for Disease_619 with common medical symptoms and treatments.,"Blurred vision,Chest pain,Sore throat,Rash,Joint pain","Maintain hygiene,Avoid contact with infected individuals,Vaccination","Omeprazole,Metformin,Aspirin","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,Difficulty breathing","Hydration,Daily exercise,Avoid smoking"
Disease_620,A simulated disease profile for Disease_620 with common medical symptoms and treatments.,"Fever,Headache,Vomiting,Blurred vision,Rash","Rest adequately,Physical distancing,Drink plenty of water","Azithromycin,Omeprazole,Paracetamol","10ml thrice a day,200mg every 8 hours","Uncontrolled bleeding,Difficulty breathing","Adequate sleep,Daily exercise,Regular checkups"
Disease_621,A simulated disease profile for Disease_621 with common medical symptoms and treatments.,"Rash,Loss of appetite,Vomiting,Shortness of breath,Headache","Drink plenty of water,Maintain hygiene,Avoid contact with infected individuals","Paracetamol,Amoxicillin,Cetirizine","10ml thrice a day,250mg every 6 hours","Loss of consciousness,Uncontrolled bleeding","Hydration,Avoid smoking,Adequate sleep"
Disease_622,A simulated disease profile for Disease_622 with common medical symptoms and treatments.,"Blurred vision,Nausea,Loss of appetite,Fever,Cough","Avoid contact with infected individuals,Drink plenty of water,Physical distancing","Amoxicillin,Paracetamol,Prednisone","10ml thrice a day,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Limit alcohol intake,Adequate sleep,Stress management"
Disease_623,A simulated disease profile for Disease_623 with common medical symptoms and treatments.,"Loss of appetite,Vomiting,Cough,Joint pain,Chest pain","Eat a balanced diet,Avoid spicy food,Maintain hygiene","Omeprazole,Amoxicillin,Aspirin","10ml thrice a day,100mg once daily","Severe dehydration,Loss of consciousness","Adequate sleep,Limit alcohol intake,Avoid smoking"
Disease_624,A simulated disease profile for Disease_624 with common medical symptoms and treatments.,"Dizziness,Sore throat,Fatigue,Vomiting,Blurred vision","Rest adequately,Maintain hygiene,Regular hand washing","Aspirin,Prednisone,Metformin","1 tablet after meals,100mg once daily","High-grade fever,Loss of consciousness","Hydration,Adequate sleep,Low-fat diet"
Disease_625,A simulated disease profile for Disease_625 with common medical symptoms and treatments.,"Fever,Shortness of breath,Headache,Chest pain,Muscle pain","Avoid spicy food,Rest adequately,Drink plenty of water","Amoxicillin,Paracetamol,Cetirizine","100mg once daily,200mg every 8 hours","High-grade fever,Uncontrolled bleeding","Adequate sleep,Hydration,Daily exercise"
Disease_626,A simulated disease profile for Disease_626 with common medical symptoms and treatments.,"Fever,Sore throat,Loss of appetite,Headache,Cough","Eat a balanced diet,Regular hand washing,Drink plenty of water","Aspirin,Omeprazole,Amoxicillin","200mg every 8 hours,1 tablet after meals","Severe chest pain,Loss of consciousness","Avoid smoking,Regular checkups,Hydration"
Disease_627,A simulated disease profile for Disease_627 with common medical symptoms and treatments.,"Shortness of breath,Loss of appetite,Joint pain,Sore throat,Fever","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Metformin,Omeprazole,Paracetamol","10ml thrice a day,200mg every 8 hours","Difficulty breathing,Uncontrolled bleeding","Regular checkups,Limit alcohol intake,Adequate sleep"
Disease_628,A simulated disease profile for Disease_628 with common medical symptoms and treatments.,"Sore throat,Vomiting,Nausea,Dizziness,Joint pain","Rest adequately,Vaccination,Drink plenty of water","Azithromycin,Amoxicillin,Prednisone","200mg every 8 hours,500mg twice a day","Uncontrolled bleeding,Loss of consciousness","Adequate sleep,Stress management,Daily exercise"
Disease_629,A simulated disease profile for Disease_629 with common medical symptoms and treatments.,"Blurred vision,Headache,Nausea,Sore throat,Vomiting","Maintain hygiene,Drink plenty of water,Use protective gear","Paracetamol,Cetirizine,Prednisone","200mg every 8 hours,250mg every 6 hours","Severe chest pain,Difficulty breathing","Regular checkups,Avoid smoking,Stress management"
